company_name,naic_code,company_type,order_date,pdf_url
"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",95639,L&H,12/1/2017,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/95639.pdf
United Services Automobile Association,25941,P&C,10/27/2017,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/25941.pdf
USAA General Indemnity Company,18600,P&C,10/27/2017,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/usaaetal.pdf
Garrison Property & Casualty Insurance Company,21253,P&C,10/27/2017,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/usaaetal.pdf
USAA Casualty Insurance Company,25968,P&C,10/27/2017,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/usaaetal.pdf
State Auto Property And Casualty Insurance Company,25127,P&C,10/6/2017,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/25127.pdf
American Strategic Insurance Corporation,10872,P&C,8/1/2017,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/10872.pdf
Virginia Farm Bureau Fire and Casualty Insurance Company,26026,P&C,6/14/2017,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/26026.pdf
Virginia Farm Bureau Mutual Insurance Company,26034,P&C,6/14/2017,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/26034.pdf
Virginia Farm Bureau Town and Country Insurance Company,10086,P&C,6/14/2017,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/10086.pdf
State Farm Fire and Casualty Company,25143,P&C,4/12/2017,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/25143.pdf
State Farm Mutual Automobile Insurance,25178,P&C,4/12/2017,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/25178.pdf
UnitedHealthcare Insurance Company,79413,L&H,3/1/2017,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/79413.pdf
"Optimum Choice, Inc.",96940,L&H,3/1/2017,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/96940.pdf
"MD-Individual Practice Association, Inc.",96310,L&H,2/23/2017,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/96310.pdf
West Virginia National Auto Insurance Company,10911,P&C,2/16/2017,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/10911.pdf
United Concordia Insurance Company,85766,L&H,12/28/2016,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/85766.pdf
American Equity Investment Life Insurance Company,92738,L&H,12/20/2016,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/92738.pdf
Safe Auto Insurance Company,25405,P&C,6/2/2016,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/25405.pdf
Equity Insurance Company,28746,P&C,4/14/2016,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/28746.pdf
Universal North America Insurance Company,10759,P&C,4/11/2016,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/10759.pdf
Homesite Insurance Company,17221,P&C,4/11/2016,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/17221.pdf
Jefferson Insurance Company,11630,P&C,2/22/2016,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/11630.pdf
Aetna Life Insurance Company,60054,L&H,9/2/2015,https://www.scc.virginia.gov/media/sccvirginiagov-home/regulated-industries/insurance/insurance-companies/for-companies/-market-conduct-examination-reports-/aetna-life-insurance-company-2015.pdf
